            2MASS_ID      x@y=0.1      x@y=0.3      x@y=0.5      x@y=0.7      x@y=0.9
  2M10331492+2936548        -0.49         6.70         0.36         0.09         0.03
  2M10452050+4533586       157.72       -43.17       -31.89       -59.65       -38.99
  2M10452050+4533586      -164.32        49.65        39.64        28.56        27.47
  2M10452050+4533586       -32.26        29.08         4.23         5.36         5.55
  2M11433068-1502341       -66.56        17.77        15.54        10.54         5.10
  2M11433068-1502341      -105.38        30.64        16.92         9.38         5.00
  2M11433068-1502341      -179.00        23.42        31.97        21.68        13.55
  2M11433068-1502341       -50.81        15.06        13.80         8.63         2.28
  2M12240346+2551043         0.34        15.03         2.71       -14.15        -8.52
  2M12240346+2551043       -15.14        12.83         4.71         8.32        -0.20
  2M12281386+2502005        -0.14         1.13         0.12         0.02        -0.05
  2M12281386+2502005        -0.15         1.50        -0.23        -0.62        -0.03
  2M12281386+2502005        -0.19         2.85        -0.35        -0.99        -0.05
  2M12283815+2613370      -156.19        76.58        30.17        -0.75        -1.18
  2M12284457+2553575      -159.16        72.95        19.54        15.30         3.90
  2M12284457+2553575       -27.69        24.72         7.36        -3.55         1.48
  2M12284457+2553575      -167.65        55.99        30.31        20.58         3.33
  2M13082991-0240443        10.79        10.35       -12.33       -12.63        -6.23
  2M13082991-0240443       -68.30        38.10        14.33        14.48         5.17
  2M13082991-0240443       -19.99        24.79         7.76        -3.08         2.33
  2M13082991-0240443         8.39       -10.57        -2.35        -4.88         0.58
  2M13121982+1731016        -0.15         1.44         0.02        -0.12        -0.25
  2M13121982+1731016        -0.26         3.67        -0.03        -0.13        -0.20
  2M13121982+1731016        -0.12         0.45        -0.03        -0.13        -0.20
  2M13121982+1731016        -0.12        -0.12        -0.08        -0.11        -0.18
  2M13121982+1731016        -0.21         2.35         0.04        -0.10        -0.23
  2M13121982+1731016        -0.14         1.20         0.09        -0.16        -0.23
  2M13121982+1731016        -0.10        -0.19         0.18        -0.10        -0.23
  2M13121982+1731016        -0.13         0.57         0.01        -0.16        -0.23
  2M13121982+1731016        -0.10        -0.22         0.02         0.04        -0.22
  2M13121982+1731016        -0.15         0.10         0.04        -0.13        -0.20
  2M13121982+1731016        -0.15         1.30         0.37         0.19         0.00
  2M13121982+1731016        -0.13         0.46         0.48         0.13         0.00
  2M13121982+1731016        -0.36         4.87         0.52         0.26         0.00
  2M13475259-0035407        10.89         6.93        -5.42       -19.14        -8.98
  2M13475259-0035407        10.04        12.98        -8.51       -21.03       -10.83
  2M13475259-0035407       -34.07        23.01         5.79        10.73         0.60
  2M13475259-0035407        -2.68         1.22        -0.14         2.84         0.97
  2M14164478+5315488       -16.39        22.37         3.71        -1.89         0.20
  2M14164478+5315488       -14.59        20.93         0.76        -0.31         0.15
  2M14164478+5315488       -17.27        17.31         3.16         2.60         3.12
  2M14193774+0553466      -179.47        60.64        22.56        -2.89        -3.62
  2M14193774+0553466      -168.92        81.65        17.64        -1.09        -1.15
  2M14193774+0553466       -98.09        57.12        12.56        -8.25       -13.73
  2M14350376+0906494        -3.37        16.01         6.37         5.12         0.15
  2M14350376+0906494        -0.52       -12.25        13.03         9.31         0.03
  2M14350376+0906494        -2.57        14.71         1.89         4.10         1.20
  2M14480341+1356411       -10.34        26.22         8.76         0.33        -0.05
  2M14480341+1356411       -13.86        30.15         3.67         0.16         0.23
  2M14480341+1356411        -4.89         2.19        19.86         1.56         0.08
  2M14480341+1356411        -8.43        19.31         3.68         0.01         0.08
  2M14542451+4517557        -1.05         7.12       -23.93        -0.26        -0.12
  2M14542451+4517557        -4.84        16.89        18.85        -0.05        -0.05
  2M14542451+4517557        -1.61         6.00        -3.55        -4.43         0.35
  2M15261954+3658534       -40.65        26.71        27.93        21.47        20.38
  2M15261954+3658534       -45.22        55.26        30.50        26.25        24.35
  2M15261954+3658534       -75.16        94.30        35.62        27.26        29.50
  2M16112725+2349118        -2.00         3.09        -1.95         0.12        -0.02
  2M16112725+2349118        -0.86         1.87        -1.91        -0.05        -0.05
  2M16112725+2349118        -2.27         2.26         0.06         0.00        -0.05
  2M16112725+2349118        -6.16         6.72         0.88         0.10        -0.05
  2M16112725+2349118        -0.27         0.70        -1.46         0.11        -0.05
  2M16493124+4706288       -75.39        50.44         8.74        -3.93        -3.93
  2M16493124+4706288       -62.32        37.71        16.57         1.40         0.20
  2M16493124+4706288       -62.86        40.45        11.22         5.67         1.15
  2M16493124+4706288       -46.24        42.16         9.23        -2.13        -2.38
  2M16493124+4706288       -70.53        60.65         2.42        -2.57        -0.88
  2M16493124+4706288       -52.15        42.11         6.45        -1.46        -2.45
  2M16493124+4706288       -18.11        26.03         5.09        -7.20        -4.35
  2M16493124+4706288      -172.12        70.14        15.23         8.74         1.40
  2M16493124+4706288      -115.15        59.69        10.43         2.06        -0.45
  2M16493124+4706288       -54.69        41.08        10.17        -2.86        -2.80
  2M16493124+4706288       -18.18        25.60         3.77        -6.96        -4.20
  2M16493124+4706288       -48.47        38.88         8.12         1.06        -0.38
  2M16493124+4706288      -171.52        66.97        21.52        11.06         2.18
  2M16560455+4722147        -2.74         1.23         2.47         1.61         0.05
  2M16560455+4722147        -3.59         3.67         0.28         2.07         0.07
  2M16560455+4722147        -2.50         2.57        -0.03         1.29         0.03
  2M16560455+4722147        -5.58         6.78        -0.46         1.01         0.05
  2M16560455+4722147       -10.62        14.04         0.09         1.25         0.03
  2M16560455+4722147       -10.95        14.09        -0.82         1.30         0.08
