            2MASS ID        R min       XR Max
  2M13082991-0240443         0.00       106.40
  2M13082991-0240443         5.87       106.40
  2M13121982+1731016         0.00         1.69
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016         0.00         3.94
  2M13121982+1731016        26.75         3.94
  2M13121982+1731016         0.00         1.45
  2M13121982+1731016         0.00         1.45
  2M13121982+1731016        31.75         5.23
  2M13475259-0035407         0.00        30.03
  2M13475259-0035407         0.00        34.01
  2M13475259-0035407         0.00        57.08
  2M13475259-0035407         6.25        57.08
  2M14164478+5315488         0.00        38.76
  2M14164478+5315488         0.00        38.76
  2M14164478+5315488         4.23        38.76
  2M14193774+0553466         0.00       240.12
  2M14193774+0553466         0.00       250.57
  2M14193774+0553466         2.89       250.57
  2M14350376+0906494         0.00        19.37
  2M14350376+0906494         0.00        25.28
  2M14350376+0906494         7.74        25.28
  2M14480341+1356411         0.00        36.56
  2M14480341+1356411         0.00        44.01
  2M14480341+1356411         0.00        44.01
  2M14480341+1356411         9.11        44.01
  2M14542451+4517557         0.00        31.05
  2M14542451+4517557         0.00        31.05
  2M14542451+4517557         9.47        31.05
  2M15261954+3658534         0.00        68.58
  2M15261954+3658534         0.00       100.48
  2M15261954+3658534         2.67       169.46
  2M16112725+2349118         0.00         5.09
  2M16112725+2349118         0.00         5.09
  2M16112725+2349118         0.00         5.09
  2M16112725+2349118         0.00        12.88
  2M16112725+2349118        30.24        12.88
  2M16493124+4706288         0.00       125.83
  2M16493124+4706288         0.00       125.83
  2M16493124+4706288         0.00       125.83
  2M16493124+4706288         0.00       125.83
  2M16493124+4706288         0.00       131.18
  2M16493124+4706288         0.00       131.18
  2M16493124+4706288         0.00       131.18
  2M16493124+4706288         0.00       242.27
  2M16493124+4706288         0.00       242.27
  2M16493124+4706288         0.00       242.27
  2M16493124+4706288         0.00       242.27
  2M16493124+4706288         0.00       242.27
  2M16493124+4706288         4.72       242.27
  2M16560455+4722147         0.00         5.21
  2M16560455+4722147         0.00         7.26
  2M16560455+4722147         0.00         7.26
  2M16560455+4722147         0.00        12.36
  2M16560455+4722147         0.00        24.66
  2M16560455+4722147         0.00        25.04
  2M16560455+4722147         0.00        25.04
  2M16560455+4722147         0.00        74.66
  2M16560455+4722147         0.00        74.66
  2M16560455+4722147         0.00        74.66
  2M16560455+4722147         0.00        74.66
  2M16560455+4722147         0.00        74.66
  2M16560455+4722147         5.88        74.66
  2M16571775+8650406         0.00         5.26
  2M16571775+8650406         0.00        15.05
  2M16571775+8650406        24.21        22.94
  2M17115469+5758032         0.00         3.87
  2M17115469+5758032         0.00         3.87
  2M17115469+5758032         0.00        20.11
  2M17115469+5758032        12.28        20.11
  2M17183642+4153170         0.00       232.70
  2M17183642+4153170         0.00       235.85
  2M17183642+4153170         0.00       235.85
  2M17183642+4153170         0.00       238.27
  2M17183642+4153170         0.00       238.27
  2M17183642+4153170         0.00       238.27
  2M17183642+4153170         0.00       238.27
  2M17183642+4153170         0.00       238.27
  2M17183642+4153170         0.00       246.93
  2M17183642+4153170         0.00       246.93
  2M17183642+4153170         0.00       246.93
  2M17183642+4153170         0.00       246.93
  2M17183642+4153170         0.00       246.93
  2M17183642+4153170         0.00       246.93
  2M17183642+4153170         1.49       246.93
  2M17183642+4153170         0.00        37.95
  2M17183642+4153170         0.00        51.28
  2M17183642+4153170         3.85        51.28
  2M17500331+4823391         0.00         0.87
  2M17500331+4823391         0.00         0.97
  2M17500331+4823391        28.27         0.97
  2M18051056-2423547         0.00       158.74
  2M18051056-2423547         0.00       191.49
  2M18051056-2423547         0.00       191.49
  2M18051056-2423547         1.77       252.52
  2M18085403-2528228         9.51        44.64
  2M18085403-2528228         0.00        46.19
  2M18085403-2528228         0.00        46.19
  2M18085403-2528228         0.00       230.10
  2M18085403-2528228         2.34       230.10
  2M18170483+0100206         0.00         5.79
  2M18170483+0100206         0.00        12.77
  2M18170483+0100206         0.00        59.05
  2M18170483+0100206         0.00        59.05
  2M18170483+0100206        10.40        59.05
  2M18510092-0614564         0.00         0.41
  2M18510092-0614564        67.16         0.41
  2M19074762+3855416         0.00        44.67
  2M19074762+3855416         0.00       252.67
  2M19074762+3855416         0.00       252.67
  2M19074762+3855416         0.00       252.67
  2M19074762+3855416         0.00       252.67
  2M19074762+3855416         0.00       252.67
  2M19074762+3855416         0.00       252.67
  2M19074762+3855416         5.71       252.67
  2M19094607+3747391         0.00        39.38
  2M19094607+3747391         0.00        39.38
  2M19094607+3747391        11.12        39.38
  2M19155697+2727210         0.00       133.29
  2M19155697+2727210         0.00       195.25
  2M19155697+2727210         0.00       195.25
  2M19155697+2727210         0.00       211.81
